sim_time,phase_index,phase_state,total_queue_length,max_queue_length,vehicle_count,avg_waiting_time,queue_north_to_center_0,queue_north_to_center_1,queue_east_to_center_0,queue_east_to_center_1,queue_south_to_center_0,queue_south_to_center_1,queue_west_to_center_0,queue_west_to_center_1
565,0,GGGgGGGgrrrrrrrr,123,25,199,12.45,25,23,17,19,5,19,4,11
566,0,GGGgGGGgrrrrrrrr,127,25,200,12.23,25,25,17,18,6,20,5,11
567,0,GGGgGGGgrrrrrrrr,127,26,201,12.18,24,26,16,18,6,21,5,11
568,0,GGGgGGGgrrrrrrrr,130,27,201,12.49,23,27,15,19,7,22,6,11
569,0,GGGgGGGgrrrrrrrr,133,28,201,12.38,23,28,14,18,8,23,7,12
570,0,GGGgGGGgrrrrrrrr,134,29,200,12.65,22,29,14,18,8,24,7,12
571,0,GGGgGGGgrrrrrrrr,135,29,201,12.5,22,29,13,17,9,25,8,12
572,0,GGGgGGGgrrrrrrrr,135,29,202,12.36,22,29,12,17,10,24,9,12
573,0,GGGgGGGgrrrrrrrr,136,30,202,12.58,22,30,11,16,10,26,9,12
574,0,GGGgGGGgrrrrrrrr,134,29,201,12.55,20,29,10,16,11,26,10,12
575,0,GGGgGGGgrrrrrrrr,135,30,202,12.57,19,30,9,17,11,27,10,12
576,0,GGGgGGGgrrrrrrrr,135,30,203,12.73,18,30,8,17,12,28,10,12
577,0,GGGgGGGgrrrrrrrr,134,31,203,12.8,16,31,8,17,13,27,10,12
578,0,GGGgGGGgrrrrrrrr,133,29,202,12.94,16,29,7,17,13,28,10,13
579,0,GGGgGGGgrrrrrrrr,134,29,204,12.6,16,29,6,16,14,29,11,13
580,0,GGGgGGGgrrrrrrrr,135,30,204,12.71,15,30,5,16,15,30,11,13
581,0,GGGgGGGgrrrrrrrr,135,31,204,12.8,16,28,4,16,16,31,11,13
582,0,GGGgGGGgrrrrrrrr,133,32,204,12.89,14,28,3,16,16,32,11,13
583,0,GGGgGGGgrrrrrrrr,138,32,207,13.23,15,31,3,16,17,32,11,13
584,0,GGGgGGGgrrrrrrrr,137,32,207,13.44,15,29,3,16,18,32,11,13
585,0,GGGgGGGgrrrrrrrr,138,32,208,13.36,14,29,2,17,19,32,12,13
586,0,GGGgGGGgrrrrrrrr,137,32,209,13.55,13,29,1,17,20,32,12,13
587,0,GGGgGGGgrrrrrrrr,138,32,211,13.7,12,30,1,17,21,32,12,13
588,0,GGGgGGGgrrrrrrrr,134,32,212,13.92,11,29,0,16,21,32,12,13
589,0,GGGgGGGgrrrrrrrr,137,32,211,14.58,10,31,0,18,21,32,12,13
590,0,GGGgGGGgrrrrrrrr,134,32,211,14.92,9,29,0,17,22,32,12,13
591,1,yyyyyyyyrrrrrrrr,134,32,210,15.2,8,29,0,17,22,32,13,13
592,1,yyyyyyyyrrrrrrrr,135,32,209,15.77,6,29,0,18,24,32,13,13
593,1,yyyyyyyyrrrrrrrr,138,32,210,16.21,5,30,1,19,25,32,13,13
594,1,yyyyyyyyrrrrrrrr,138,32,210,16.61,4,30,1,20,25,32,13,13
595,2,rrrrrrrrGGGgGGGg,137,32,211,16.24,3,31,1,21,25,32,12,12
596,2,rrrrrrrrGGGgGGGg,136,32,211,15.97,4,31,2,21,24,32,11,11
597,2,rrrrrrrrGGGgGGGg,136,32,209,15.98,4,30,3,22,24,32,10,11
598,2,rrrrrrrrGGGgGGGg,136,32,209,16.0,4,30,3,23,24,32,10,10
599,2,rrrrrrrrGGGgGGGg,134,32,208,15.81,3,29,4,23,24,32,10,9
